Content,Label
,ham
-Allen,ham
"""Mike Bostock"" said:",spam
No I was just a little confused because I'm running procmail on a gateway,spam
"This is just an semi-educated guess - if I'm wrong, someone please correct",ham
jm@jmason.org (Justin Mason) writes:,spam
I just picked up Razor SDK 2.03 and  2.14 agents from the the razor site.,ham
"On Sep 25,  7:35pm, Daniel Quinlan wrote:",spam
Unable to find user: <matt_relay@sbcglobal.net>,ham
,ham
SpamTalk said:,spam
--qcHopEYAB45HaUaB,spam
Ananova:,ham
jm@jmason.org (Justin Mason) writes:,spam
Justin Mason wrote:,spam
Update of /cvsroot/spamassassin/spamassassin/lib/Mail,ham
Update of /cvsroot/spamassassin/spamassassin,ham
Update of /cvsroot/spamassassin/spamassassin/t,ham
Update of /cvsroot/spamassassin/spamassassin,ham
Update of /cvsroot/spamassassin/spamassassin/rules,ham
Update of /cvsroot/spamassassin/spamassassin/t,ham
Malte S. Stretz said:,spam
"> eh? any reason why?  wasn't causing any trouble for me, and",spam
> That always amazes me about 'regular' dreams - how often they come true.,spam
http://www.hughes-family.org/bugzilla/show_bug.cgi?id=1049,ham
http://www.hughes-family.org/bugzilla/show_bug.cgi?id=1006,ham
,ham
,ham
,ham
,ham
,ham
http://www.hughes-family.org/bugzilla/show_bug.cgi?id=960,ham
http://www.hughes-family.org/bugzilla/show_bug.cgi?id=739,ham
http://www.hughes-family.org/bugzilla/show_bug.cgi?id=779,ham
http://www.hughes-family.org/bugzilla/show_bug.cgi?id=1052,ham
,ham
,ham
http://www.hughes-family.org/bugzilla/show_bug.cgi?id=1053,ham
> Anyone know what Quaoar means or stands for? Can't find it in the,spam
,ham
,ham
http://www.hughes-family.org/bugzilla/show_bug.cgi?id=1054,ham
Daniel Quinlan wrote:,spam
Randy Bush said:,spam
In emacs rmail what varieties of different techniques are there for,ham
Kenneth Nerhood said:,spam
I don't know how make of you are in the Bay Area but EFF is having a benifit,spam
"On Thursday, August 22, 2002, at 10:24  AM, Justin Mason wrote:",spam
http://www.hughes-family.org/bugzilla/show_bug.cgi?id=1075,ham
"""Steve Thomas"" said:",spam
">  > Ok, but you'll still let me leave that black and white one there too,",spam
Bob Sully said:,spam
,ham
,spam
This is a MIME-encapsulated message,spam
David Höhn wrote:,spam
,spam
Craig Hughes said:,spam
> (Please feel free to forward this message to other possibly-interested,spam
(trimmed cc list),spam
----- Original Message,spam
"On Aug 23 Bort, Paul wrote:",spam
"Bonjour,",spam
> Or you could let me write one for you? Mind you ...... I know an,spam
"Bonjour,",spam
I'm not sure if this is really a razor problem/issue or a sendmail,spam
"See your /etc/sendmail.cf file, there are a number of methods for limiting",spam
On Aug 25 Joe Berry wrote:,spam
The following razor debugging sequence show my mail going from 9295 bytes to,spam
,ham
,ham
,ham
<html>,spam
-,spam
The following was personal correspondence between two people.  I can't,ham
,ham
"Hello,",spam
"No, please post a link!",spam
--aT9PWwzfKXlsBJM1,spam
"Oh, I was serious. I'm awful with perl/etc. I just think the HTML graph that",spam
,spam
"On Tue, 2002-10-08 at 00:05, Matthias Saou wrote:",spam
"Hi,",ham
-,spam
This is a multi-part message in MIME format.,spam
"On Thu, Sep 05, 2002 at 10:12:59PM -0400, Leland Woodbury wrote:",spam
"On Thu, Sep 05, 2002 at 08:53:16PM -0400, Theo Van Dinter wrote:",spam
And you were exactly the person I figured would do so. <G>,spam
--iJXiJc/TAIT2rh2r,spam
"Shouldn't there be a w, somewhere in tehre?  Simply setting group and",spam
--Enx9fNJ0XV5HaWRu,spam
"Theo,",spam
"This is due to insufficient write privileges to the ""razor-agent.log""",spam
,spam
Just the headlines and URLs so I don't bore y'all too much....,ham
This is a multi-part message in MIME format.,spam
--4Ycl1UgPPPgGZoSL,spam
Forgive me for being a partially stupid end-user of this fantastic,spam
You might be better asking this on the spamassassin-talk list.  The folks,spam
"On Thu, Sep 05, 2002 at 06:16:57PM -0500, Mike Burger wrote:",spam
"This is my first time running Razor, heard a lot of good things about it so",spam
"No as a answer to this FAQ, would the recommended answer be to",spam
"I just set up razor and spamassassin, but I keep getting this error in my",ham
,spam
"On Mon, Sep 09, 2002 at 05:10:23PM -0400, Rob wrote:",spam
"Or, you could do this. <G>",spam
Using Razor2 via SpamAssasin.,ham
,ham
It's a permissions issue on the razor log file.  SpamAssassin runs setuid,spam
Hey Folks,ham
,spam
Does anyone else experience this:,spam
I have a spamd/spamc/razor/dcc setup.,spam
"On Tue, 10 Sep 2002, Rose, Bobby wrote:",ham
,ham
,ham
"To continue the subject on an otherwise unrelated note, the following",spam
<********@**********       To:,ham
I have to stay after school today so I can work on the school newspaper,ham
,ham
I'm taking all my razored mail today and calling any 1-800 numbers I can,ham
"Haven't heard anything about this, so excuse the repost but:",ham
,ham
"Hi,",ham
,ham
Razor won't filter empty emails. What version of the agents are you using?,spam
Even better:,spam
"To unsubscribe from this group, send an email to:",ham
"""Fox"" said:",spam
--huq684BweRXVnRxX,spam
> I suggest that you use a normal user to start. Once you are familiar,spam
,ham
"Using -lm 4 is yielding an extra 20% a day, but it gets false positives",ham
Depends on how you want to use it.,spam
Here is my recipe for Maildrop:,spam
Jeff,spam
,ham
I received a spam email that had apparently forged the From header with,ham
,ham
Vipul Ved Prakash said:,spam
"I'm getting ""no servers available"" about half the time in the last few days.",ham
Tom R:,spam
I just installed razor 2.152 on a FreeBSD 4.4-RELEASE box and having,ham
-,ham
"> Date: Mon, 30 Sep 2002 14:00:12 -0400 (EDT)",spam
"I noticed a drop in checks, and did some tests.  If I move truth up in",ham
What does this mean?  I set up procmailrc for a spamtrap but I'm getting,ham
I recently brought up a new system - SuSe 7.3 and I am running,ham
,ham
--CE+1k2dSO48ffgeK,spam
"If you examine the log further, you'll see debug messages generated by the",spam
"Vipul Ved Prakash          |   ""The future is here, it's just not",ham
I'm still seeing razor reporting bomb out with a small variety of messages.,spam
trying to report spam [razor chooses hubris] I timeout on the connection,ham
--ey/N+yb7u/X9mFhi,spam
what takes time and money: noting the amounts of each correction and basing,ham
> From: fork-admin@xent.com [mailto:fork-admin@xent.com] On Behalf Of,ham
,ham
--5vNYLRcllDrimb99,ham
This is happening due to insufficient write access to the,spam
,ham
-----BEGIN PGP SIGNED MESSAGE,spam
"On Thu, Aug 29, 2002 at 07:33:44PM -0400, cmeclax po'u le cmevi'u ke'umri wrote:",spam
"I've been testing Razor, invoked from sendmail/procmail and so far it",ham
"On Wed, 9 Oct 2002 09:15:03 -0400 (EDT), Samuel Checker <sc@pffcu.org> wrote:",spam
"On Wed, 9 Oct 2002, Brian Fahrlander wrote:",spam
I am somewhat puzzled by a phone call I (or rather the CIO at the ISP for,ham
"Hi,",ham
"On Tue, Sep 03, 2002 at 09:03:40PM -0400, Yannick Gingras wrote:",spam
use Perl Daily Headline Mailer,ham
======================================================================,ham
I did something crudely along those lines for VMS VAX maybe 13 years,ham
Scott MacKenzie wrote:,spam
,ham
the only way to insure a safe key is to use all the storage space in the,ham
--2+N3zU4ZlskbnZaJ,spam
There is a software package that is used (or was up through w2k),spam
"> However, cracking and reverse engineering tools are not so ubiquitous on",spam
Ben Mord wrote:,spam
-----Original Message,spam
Hi,spam
,ham
> Ben Mord said:,spam
use Perl Daily Newsletter,ham
"On 5 Sep 2002, Richard Bartlett wrote:",spam
,ham
Bryan Feir [mailto:bryan@sgl.crestech.ca] wrote:,ham
"On Thursday 19 September 2002 16:44, Michael McKay wrote:",spam
reply to the mail from Ben Mord (bmord@icon-nicholson.com):,spam
Hi everybody!,ham
"On 05 September 2002, Tim Peters said:",ham
> I believe the SpamAssassin maintainers have a scheme whereby the corpus,ham
"On 06 September 2002, Anthony Baxter said:",spam
">>>>> ""TP"" == Tim Peters <tim.one@comcast.net> writes:",ham
> Check it into the spambayes project.  SF's disks are cheap <wink>.,ham
>Benoit claimed the prize for his size 14 feet. In the female division of the,spam
">>>>> ""GW"" == Greg Ward <gward@python.net> writes:",ham
"Quite independently from testing and tuning the algorithm, I'd like to",ham
">>>>> ""GvR"" == Guido van Rossum <guido@python.org> writes:",ham
"On 6 Sep 2002 at 10:31, Guido van Rossum wrote:",ham
[Tim],ham
"> >   your mail, and gives you only the non-spam.  To train it, you'd only need",ham
[Anthony Baxter],ham
Guido> Takers?  How is ESR's bogofilter packaged?  SpamAssassin?  The,ham
Did you want this on the list? I'm replying to the list..,ham
,ham
> > What's an auto-ham?,ham
>Helen & Mike wrote:,spam
"> Dunno about the other tools, but SpamAssassin is a breeze to incorporate",ham
">> Ultimately I'd like to see tight integration into the ""most popular",ham
">> Dunno about the other tools, but SpamAssassin is a breeze ...",ham
Guido van Rossum wrote:,ham
">>>>> ""NS"" == Neil Schemenauer <nas@python.ca> writes:",ham
"On Fri, 6 Sep 2002, Guido van Rossum wrote:",spam
> I guess MUA-level filtering is just a fallback for people who don't have,ham
I think one step towards deployment is creating a re-usable tokenizer,ham
"[Barry A. Warsaw, gives answers and asks questions]",ham
[Anthony Baxter],ham
>I managed to get myself an iMac yesterday (just a G3 but a good'un) and was,spam
"TP> A false positive *really* has to work hard then, eh?  The long",ham
"So then, Guido van Rossum <guido@python.org> is all like:",ham
[Jeremy Hylton],ham
"I think that when considering deployment, a solution that supports all",ham
> I wonder if the focus of spambayes ought not to be a classifier that,ham
"On 06 September 2002, Tim Peters said:",ham
"Greg> In case it wasn't obvious, I'm a strong proponent of filtering",ham
"On Friday 06 September 2002 20:48, Skip Montanaro wrote:",ham
[Guido],ham
> > - A program that acts both as a pop client and a pop server.  You,ham
>  >Tom R:,spam
[Guido],ham
[Guido],ham
"You missed the part that said that spam is kept in the ""eThunk"" and was",ham
"So then, Tim Peters <tim.one@comcast.net> is all like:",ham
[Tim],ham
"So then, Tim Peters <tim.one@comcast.net> is all like:",ham
>> > ##Remove: jeremy@alum.mit.edu##,ham
>     >> > ##Remove: jeremy@alum.mit.edu##,ham
http://sf.net/project/showfiles.php?group_id=61702,ham
">>>>> ""TP"" == Tim Peters <tim.one@comcast.net> writes:",ham
>That Goddess Chick wrote:,spam
[Neale Pickett],ham
[Barry],ham
[Jeremy Hylton[,ham
[Jeremy],ham
"> > Note that header names are case insensitive, so this one's no",ham
> Looks like your ham corpus by and large has To: jeremy@alum.mit.edu in,ham
>>> Jeremy Hylton wrote,ham
,ham
"There seem to be two ""drivers"" for the classifier now: Neale Pickett's",ham
"I actually like Neale's X-Spam-Disposition header, I just wonder if maybe we",ham
Hi,spam
,ham
>>> Skip Montanaro wrote,ham
"Guido> Therefore I propose to nuke GBayes.py, after adding a -u feature.",ham
"If the frequency of my laptop's disk chirps are any indication, I'd say",ham
I'm listed as a developer on SF and have the spambayes CVS module checked,ham
"So then, Tim Peters <tim.one@comcast.net> is all like:",ham
"> Yeah, that's exactly what I was doing--I didn't realize I was",ham
[Skip Montanaro],ham
Tim> About half the developers on the spambayes project were missing,ham
"[Skip Montanaro, to Anthony Baxter]",ham
">> ... choose something with a different prefix than ""X-Spam-"" so that",ham
"Once upon a time, Roi wrote :",spam
Skip> I'll try a checkout into a new directory...,ham
">> Accordingly, I wrote unheader.py, which is mostly a ripoff of",ham
"So then, Guido van Rossum <guido@python.org> is all like:",ham
"> > Maybe.  I batch messages using fetchmail (don't ask why), and adding",ham
">>>>> ""TP"" == Tim Peters <tim.one@comcast.net> writes:",ham
>   TP> I'm reading this now as that you trained on about 220 spam and,ham
[Guido],ham
Here's clarification of why I did:,ham
> [Guido],ham
"Before we get too far down this road, what do people think of creating a",ham
"Once upon a time, Roi wrote :",spam
[Jeremy Hylton],ham
"> Before we get too far down this road, what do people think of creating a",ham
"[Guido, on the classifier pickle on SF]",ham
> > But it also identified as spam everything in my inbox that had any,ham
> > I also looked in more detail at some f-p's in my geeks traffic.  The,ham
[Guido],ham
[Tim],ham
">> Before we get too far down this road, what do people think of",ham
These results are from timtest.py.  I've got three sets of spam and ham,ham
[Neil Schemenauer],ham
URL: http://diveintomark.org/archives/2002/10/08.html#teach_a_man_to_fish,ham
Neil trained a classifier using 3 sets with about 500 ham and spam in each.,ham
[Tim],ham
[Greg Ward],ham
[Neale Pickett],ham
[Guido],ham
Just curious if subject line capitalization can be used as an indicator.,ham
[Brad Clements],ham
Tim Peters wrote:,ham
[Tim],ham
[Neil Schemenauer],ham
URL: http://www.aaronsw.com/weblog/000643,ham
"On 07 September 2002, Guido van Rossum said:",ham
"> I'd prefer to strip HTML tags from everything, but last time I tried",ham
[Tim],ham
">> If and when we package this, perhaps we should use Barry's trick ...",ham
> That has the nasty side effect of placing all .py files in the,ham
[Skip Montanaro],ham
"Because I get mail through several different email addresses, I frequently",ham
">>>>> ""TP"" == Tim Peters <tim.one@comcast.net> writes:",ham
[Skip Montanaro],ham
"Guido> Why would we care about installing a few extra files, as long as",ham
URL: http://www.oblomovka.com/entries/2002/10/07#1034055900,ham
>> I wrote a script some time ago to try an minimize the duplicates I,ham
"On 09 September 2002, Tim Peters said:",ham
"Greg> OTOH, look into DCC (Distributed Checksum Clearinghouse,",ham
"[followups to spambayes@python.org please, unless you're specifically",ham
"We've not only reduced the f-p and f-n rates in my test runs, we've also",ham
>>> Tim Peters wrote,ham
"After my latest cvs up, timtest fails with",ham
[Skip Montanaro],ham
[Tim],ham
[Anthony Baxter],ham
URL: http://boingboing.net/#85537486,ham
[Tim],ham
"I've been running hammie on all my incoming messages, and I noticed that",ham
"So then, Neale Pickett <neale@woozle.org> is all like:",ham
"On 10 September 2002, Tim Peters said:",ham
[Anthony Baxter],ham
,ham
[Neale Pickett],ham
[Tim],ham
Anthony> They weren't partitioned in any particular scheme - I think,ham
[Skip],ham
URL: http://boingboing.net/#85537496,ham
> They weren't partitioned in any particular scheme - I think I'll write a,ham
use Perl Daily Headline Mailer,ham
======================================================================,ham
use Perl Daily Newsletter,ham
Forwarded-by: Rob Windsor <windsor@warthog.com>,ham
Forwarded-by: Rob Windsor <windsor@warthog.com>,ham
use Perl Daily Newsletter,ham
use Perl Daily Headline Mailer,ham
======================================================================,ham
Forwarded-by: Per Hammer <perh@inrs.co.uk>,ham
use Perl Daily Headline Mailer,ham
======================================================================,ham
use Perl Daily Newsletter,ham
URL: http://boingboing.net/#85535421,ham
use Perl Daily Headline Mailer,ham
======================================================================,ham
use Perl Daily Newsletter,ham
use Perl Daily Headline Mailer,ham
======================================================================,ham
use Perl Daily Newsletter,ham
use Perl Daily Newsletter,ham
use Perl Daily Headline Mailer,ham
======================================================================,ham
use Perl Daily Headline Mailer,ham
======================================================================,ham
use Perl Daily Newsletter,ham
use Perl Daily Headline Mailer,ham
======================================================================,ham
use Perl Daily Newsletter,ham
URL: http://boingboing.net/#85534626,ham
Forwarded-by: Sven Guckes <guckes@math.fu-berlin.de>,ham
use Perl Daily Headline Mailer,ham
======================================================================,ham
use Perl Daily Newsletter,ham
use Perl Daily Headline Mailer,ham
======================================================================,ham
use Perl Daily Newsletter,ham
use Perl Daily Headline Mailer,ham
======================================================================,ham
use Perl Daily Newsletter,ham
use Perl Daily Headline Mailer,ham
======================================================================,ham
use Perl Daily Newsletter,ham
use Perl Daily Headline Mailer,ham
======================================================================,ham
URL: http://boingboing.net/#85534328,ham
use Perl Daily Newsletter,ham
Forwarded-by: Nev Dull <nev@sleepycat.com>,ham
use Perl Daily Headline Mailer,ham
======================================================================,ham
use Perl Daily Newsletter,ham
Forwarded-by: William Knowles <wk@c4i.org>,ham
Forwarded-by: Flower,ham
use Perl Daily Headline Mailer,ham
======================================================================,ham
use Perl Daily Newsletter,ham
use Perl Daily Headline Mailer,ham
======================================================================,ham
use Perl Daily Newsletter,ham
"URL: http://www.newsisfree.com/click/-2,8655706,215/",ham
use Perl Daily Headline Mailer,ham
======================================================================,ham
use Perl Daily Newsletter,ham
use Perl Daily Headline Mailer,ham
======================================================================,ham
use Perl Daily Newsletter,ham
use Perl Daily Headline Mailer,ham
======================================================================,ham
use Perl Daily Newsletter,ham
use Perl Daily Headline Mailer,ham
======================================================================,ham
use Perl Daily Newsletter,ham
use Perl Daily Newsletter,ham
use Perl Daily Headline Mailer,ham
======================================================================,ham
"URL: http://www.newsisfree.com/click/-2,8655710,215/",ham
Forwarded-by: Chris Wedgwood <cw@f00f.org>,ham
use Perl Daily Headline Mailer,ham
======================================================================,ham
use Perl Daily Newsletter,ham
Forwarded-by: Monty Solomon <monty@roscom.com>,ham
Forwarded-by: Nev Dull <nev@sleepycat.com>,ham
Forwarded-by: Nev Dull <nev@sleepycat.com>,ham
use Perl Daily Newsletter,ham
use Perl Daily Newsletter,ham
Forwarded-by: Rob Windsor <windsor@warthog.com>,ham
Forwarded-by: Nev Dull <nev@sleepycat.com>,ham
"URL: http://www.newsisfree.com/click/-2,8655712,215/",ham
Forwarded-by: Nev Dull <nev@sleepycat.com>,ham
use Perl Daily Headline Mailer,ham
======================================================================,ham
use Perl Daily Newsletter,ham
use Perl Daily Newsletter,ham
URL: http://diveintomark.org/archives/2002/09/23.html#new_toys,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/23#When:12:45:28PM,ham
URL: http://www.aaronsw.com/weblog/000611,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/23#When:6:16:41PM,ham
URL: http://www.aaronsw.com/weblog/000609,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/23#When:8:24:12AM,ham
"URL: http://www.newsisfree.com/click/-2,8655713,215/",ham
URL: http://scriptingnews.userland.com/backissues/2002/09/23#When:12:00:00AM,ham
URL: http://boingboing.net/#85481626,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/23#When:8:25:14AM,ham
URL: http://boingboing.net/#85481566,ham
URL: http://boingboing.net/#85483339,ham
URL: http://boingboing.net/#85481526,ham
URL: http://boingboing.net/#85483138,ham
URL: http://boingboing.net/#85481504,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/23#When:8:30:51AM,ham
URL: http://boingboing.net/#85481344,ham
"URL: http://www.newsisfree.com/click/-2,8655714,215/",ham
URL: http://scriptingnews.userland.com/backissues/2002/09/23#When:4:27:03PM,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/23#When:8:59:58PM,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/23#When:12:00:00AM,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/23#When:12:00:00AM,ham
URL: http://boingboing.net/#85482094,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/23#When:9:11:14PM,ham
URL: http://boingboing.net/#85481660,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/23#When:4:54:52PM,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/23#When:3:56:54PM,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/23#When:8:11:28AM,ham
"URL: http://www.newsisfree.com/click/-1,8640496,1440/",ham
URL: http://scriptingnews.userland.com/backissues/2002/09/23#When:12:00:00AM,ham
URL: http://boingboing.net/#85482924,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/23#When:9:19:32AM,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/23#When:10:34:18AM,ham
URL: http://boingboing.net/#85482231,ham
URL: http://diveintomark.org/archives/2002/09/23.html#now_heavily_medicated,ham
,ham
URL: http://diveintomark.org/archives/2002/09/23.html#the_semantic_web_makes_me_sick,ham
URL: http://boingboing.net/#85482211,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/23#When:8:19:16AM,ham
URL: http://boingboing.net/#85481649,ham
"URL: http://www.newsisfree.com/click/-1,8643939,1440/",ham
URL: http://scriptingnews.userland.com/backissues/2002/09/23#When:8:47:06AM,ham
URL: http://diveintomark.org/archives/2002/09/25.html#rss_revolt,ham
,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/24#When:3:59:56PM,ham
URL: http://www.aaronsw.com/weblog/000614,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/24#When:11:41:50AM,ham
URL: http://diveintomark.org/archives/2002/09/24.html#stark_raving_sane,ham
,ham
URL: http://www.oblomovka.com/entries/2002/09/24#1032870720,ham
URL: http://diveintomark.org/archives/2002/09/24.html#light_reading,ham
,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/24#When:8:07:06PM,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/24#When:8:14:24PM,ham
"URL: http://www.newsisfree.com/click/-1,8639021,1440/",ham
URL: http://scriptingnews.userland.com/backissues/2002/09/24#When:8:35:25AM,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/24#When:9:13:33AM,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/24#When:5:47:50PM,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/24#When:8:21:06AM,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/24#When:10:02:01AM,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/24#When:7:38:08AM,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/24#When:10:21:41AM,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/24#When:4:10:18AM,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/24#When:11:27:17AM,spam
URL: http://scriptingnews.userland.com/backissues/2002/09/24#When:11:46:59AM,ham
"URL: http://www.newsisfree.com/click/-1,8639022,1440/",ham
URL: http://scriptingnews.userland.com/backissues/2002/09/24#When:8:05:13AM,ham
URL: http://diveintomark.org/archives/2002/09/24.html#parallels,ham
,ham
URL: http://diveintomark.org/archives/2002/09/24.html#dvd_stills,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/24#When:8:53:42AM,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/24#When:4:19:42AM,ham
URL: http://boingboing.net/#85488621,ham
URL: http://boingboing.net/#85485739,ham
URL: http://boingboing.net/#85487893,ham
URL: http://boingboing.net/#85485619,ham
URL: http://boingboing.net/#85486499,ham
"On Mon, 7 Oct 2002, Thomas Vander Stichele wrote:",spam
URL: http://boingboing.net/#85485727,spam
URL: http://boingboing.net/#85486452,ham
URL: http://boingboing.net/#85485985,ham
URL: http://boingboing.net/#85485894,ham
URL: http://boingboing.net/#85485824,ham
URL: http://boingboing.net/#85485805,ham
URL: http://boingboing.net/#85485786,ham
URL: http://boingboing.net/#85485775,ham
URL: http://boingboing.net/#85485759,ham
URL: http://www.aaronsw.com/weblog/000616,ham
"On Mon, 7 Oct 2002, Jesse Keating wrote:",spam
URL: http://scriptingnews.userland.com/backissues/2002/09/25#When:6:48:40AM,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/25#When:9:59:11AM,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/25#When:5:12:19AM,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/25#When:8:47:05AM,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/25#When:5:49:00AM,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/25#When:2:46:48PM,ham
URL: http://boingboing.net/#85490404,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/25#When:8:14:00AM,ham
URL: http://boingboing.net/#85490332,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/25#aProductiveThread,ham
Quoting Brendan Kehoe (brendan@zen.org):,spam
URL: http://boingboing.net/#85490211,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/25#When:5:39:47AM,ham
URL: http://boingboing.net/#85490092,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/25#When:6:31:40PM,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/25#When:5:36:11AM,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/25#medicalNotes,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/25#When:6:25:23AM,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/25#When:12:25:19PM,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/25#When:3:23:55PM,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/25#When:5:34:49AM,ham
Brendan Kehoe wrote:,spam
URL: http://scriptingnews.userland.com/backissues/2002/09/25#When:8:33:10AM,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/25#When:7:04:44AM,ham
URL: http://www.aaronsw.com/weblog/000615,ham
URL: http://scriptingnews.userland.com/backissues/2002/09/25#When:5:24:45AM,ham
URL: http://diveintomark.org/archives/2002/09/25.html#foaf_explorer,ham
URL: http://diveintomark.org/archives/2002/09/25.html#maps,ham
URL: http://diveintomark.org/archives/2002/09/25.html#plan,ham
URL: http://boingboing.net/#85494359,ham
URL: http://www.mozillazine.org/weblogs/hyatt/#85471617,ham
Why?,ham
URL: http://www.mozillazine.org/weblogs/hyatt/#85443841,ham
"Thanks for the info AJ, I found ""weblog"" at",spam
URL: http://boingboing.net/#85494705,ham
URL: http://www.mozillazine.org/weblogs/hyatt/#85399441,ham
URL: http://www.mozillazine.org/weblogs/hyatt/#85409355,ham
URL: http://boingboing.net/#85494694,ham
URL: http://www.joelonsoftware.com/news/20020912.html,ham
URL: http://www.joelonsoftware.com/news/20020925.html,ham
URL: http://www.mozillazine.org/weblogs/hyatt/#85395270,ham
URL: http://www.joelonsoftware.com/news/20020917.html,ham
URL: http://www.joelonsoftware.com/news/20020913.html,ham
URL: http://www.mozillazine.org/weblogs/hyatt/#85378428,ham
>>From the BBC website - www.bbc.co.uk,ham
"URL: http://www.newsisfree.com/click/-4,8274140,1717/",ham
"URL: http://www.newsisfree.com/click/-4,8269407,1717/",ham
"URL: http://www.newsisfree.com/click/-4,8269406,1717/",ham
URL: http://www.joelonsoftware.com/news/20020910.html,ham
"URL: http://www.newsisfree.com/click/-4,8268032,1717/",ham
URL: http://www.mozillazine.org/weblogs/hyatt/#85377159,ham
"URL: http://www.newsisfree.com/click/-3,8256507,1717/",ham
"URL: http://www.newsisfree.com/click/-3,7764729,159/",ham
"URL: http://www.newsisfree.com/click/-3,8256508,1717/",ham
"URL: http://www.newsisfree.com/click/-4,8278079,215/",ham
http://news.bbc.co.uk/1/hi/entertainment/showbiz/2308581.stm,ham
"URL: http://www.newsisfree.com/click/-4,6436947,159/",ham
"URL: http://www.newsisfree.com/click/-4,8276089,215/",ham
"URL: http://www.newsisfree.com/click/-4,8268033,1717/",ham
URL: e59c6ca5938fc27a6995e30fc10b6482,ham
URL: http://www.livejournal.com/talkread.bml?journal=jwz&itemid=60761,ham
URL: 4538e94b3b2c6b19041756b37b1f9916,ham
URL: http://www.livejournal.com/talkread.bml?journal=jwz&itemid=58104,ham
URL: http://www.livejournal.com/talkread.bml?journal=jwz&itemid=54458,ham
URL: http://www.livejournal.com/talkread.bml?journal=jwz&itemid=49760,ham
URL: http://www.livejournal.com/talkread.bml?journal=jwz&itemid=52887,ham
">I'd normally never buy this but the Xbox is Eur300 on IOL's shop, a very",spam
URL: http://www.livejournal.com/talkread.bml?journal=jwz&itemid=48393,ham
URL: http://jeremy.zawodny.com/blog/archives/000187.html,ham
URL: http://www.livejournal.com/talkread.bml?journal=jwz&itemid=48335,ham
"URL: http://www.newsisfree.com/click/-2,8206955,1440/",ham
URL: http://jeremy.zawodny.com/blog/archives/000185.html,ham
"URL: http://www.newsisfree.com/click/-3,8251864,1440/",ham
"URL: http://www.newsisfree.com/click/-3,8015194,1440/",ham
"URL: http://www.newsisfree.com/click/-3,8015193,1440/",ham
"URL: http://www.newsisfree.com/click/-4,8052858,1440/",ham
"URL: http://www.newsisfree.com/click/-2,8199104,1440/",ham
"http://www.guardian.co.uk/religion/Story/0,2763,806744,00.html",ham
"URL: http://www.newsisfree.com/click/-4,8045344,1440/",ham
"URL: http://www.newsisfree.com/click/-3,8251867,1440/",ham
"URL: http://www.newsisfree.com/click/-4,8052859,1440/",ham
"URL: http://www.newsisfree.com/click/-5,8086489,1440/",ham
"URL: http://www.newsisfree.com/click/-1,8171675,1440/",ham
"URL: http://www.newsisfree.com/click/-2,8182249,1440/",ham
"URL: http://www.newsisfree.com/click/-0,8132228,1440/",ham
"URL: http://www.newsisfree.com/click/-3,8251866,1440/",ham
